x,x -   x		  x   x 1
0,1 -   0		  0   0 1
0,0 - 251		  0   5 1
0,0 - 246		  0  10 1
0,0 - 241		  0  15 1
0,0 - 236		  0  20 1
0,0 - 231		  0  25 1
0,0 - 226		  0  30 1
0,0 - 221		  0  35 1
0,0 - 216		  0  40 1
0,0 - 211		  0  45 1
0,0 - 206		  0  50 1
0,0 - 201		  0  55 1
0,0 - 196		  0  60 1
0,0 - 191		  0  65 1
0,0 - 186		  0  70 1
0,0 - 181		  0  75 1
0,0 - 176		  0  80 1
0,0 - 171		  0  85 1
0,0 - 166		  0  90 1
0,0 - 161		  0  95 1
0,0 - 156		  0 100 1
0,0 - 151		  0 105 1
0,0 - 146		  0 110 1
0,0 - 141		  0 115 1
0,0 - 136		  0 120 1
0,0 - 131		  0 125 1
0,0 - 126		  0 130 1
0,0 - 121		  0 135 1
0,0 - 116		  0 140 1
0,0 - 111		  0 145 1
0,0 - 106		  0 150 1
0,0 - 101		  0 155 1
0,0 -  96		  0 160 1
0,0 -  91		  0 165 1
0,0 -  86		  0 170 1
0,0 -  81		  0 175 1
0,0 -  76		  0 180 1
0,0 -  71		  0 185 1
0,0 -  66		  0 190 1
0,0 -  61		  0 195 1
0,0 -  56		  0 200 1
0,0 -  51		  0 205 1
0,0 -  46		  0 210 1
0,0 -  41		  0 215 1
0,0 -  36		  0 220 1
0,0 -  31		  0 225 1
0,0 -  26		  0 230 1
0,0 -  21		  0 235 1
0,0 -  16		  0 240 1
0,0 -  11		  0 245 1
0,0 -   6		  0 250 1
0,0 -   1		  0 255 1
0,1 -  10		 10   0 1
0,1 -   5		 10   5 1
0,1 -   0		 10  10 1
0,0 - 251		 10  15 1
0,0 - 246		 10  20 1
0,0 - 241		 10  25 1
0,0 - 236		 10  30 1
0,0 - 231		 10  35 1
0,0 - 226		 10  40 1
0,0 - 221		 10  45 1
0,0 - 216		 10  50 1
0,0 - 211		 10  55 1
0,0 - 206		 10  60 1
0,0 - 201		 10  65 1
0,0 - 196		 10  70 1
0,0 - 191		 10  75 1
0,0 - 186		 10  80 1
0,0 - 181		 10  85 1
0,0 - 176		 10  90 1
0,0 - 171		 10  95 1
0,0 - 166		 10 100 1
0,0 - 161		 10 105 1
0,0 - 156		 10 110 1
0,0 - 151		 10 115 1
0,0 - 146		 10 120 1
0,0 - 141		 10 125 1
1,0 - 136		 10 130 1
1,0 - 131		 10 135 1
0,0 - 126		 10 140 1
0,0 - 121		 10 145 1
0,0 - 116		 10 150 1
0,0 - 111		 10 155 1
0,0 - 106		 10 160 1
